 ;Composant;Ordre;Article;Quantité totale de l'ordre;Besoin Composant;Destination;Brossage/ebavurage;KB/MRP;Avance/Retard;Contenant;Contenant TH
22500;1052004351;34000634586;CC110864;4;0,076;22500 + Paint;0;MRP;-3; 0;0DM
22500;1052004351;34000634251;cc141276_10pieces;4;0,04;22500;0;KB;-1; 0;0DM
22500;1052004351;34000634281;CC142872;50;0,3;22500;0;KB;-1;1 TKM;1 TKM
21470;1052004351;34000634284;CC126392;100;0,3;21470;0;KB;-1;21470;TKM
22500;1052004351;34000634290;CC139938;50;0,1;22500;0;KB;-1;1 TCM;1 TCM
22500;1052004351;34000634491;CC141839;24;0,024;22500;0;KB;-1;1 TCM;1 TCM
21470;1052004351;34000634496;CC135346;20;1,24;21470;0;KB;-1;21470;P4C pour 21470
22500;1052004351;34000634608;CC142639;50;0,4;22500;0;KB;-1;1 0DM;1 0DM
22500;1052004351;34000634609;CC142653;17;0,136;22500;0;KB;-1;2 TCM;2 TCM
22500;1052004351;34000633975;CC124885;30;2,16;21480;0;MRP;3;21480;P4C pour 21480
21460;1052004351;34000634353;CC125779;80;0,24;21460;0;MRP;4;21460;TKM
22500;1052004351;34000634357;CC140136;50;0,2;21460;0;MRP;4;21460;TKM
22500;1052004351;34000634363;CC125425;30;0,78;21470;0;MRP;4;21470;P4C pour 21470
21470;1052004351;34000634372;CC136899;75;0,3;21470;0;MRP;4;21470;TKM
21470;1052004351;34000634383;CC136388;45;0,765;21470;0;MRP;4;21470;50% P4C pour 21470
22500;1052004351;34000634384;cc142238_10pieces;10;0,1;22500;0;MRP;4;2 TCM;2 TCM
22500;1052004351;34000634387;CC134848;120;0,24;21470;0;MRP;4;21470;TKM
22500;1052004351;34000634396;CC142569;18;0,036;22500;0;MRP;4; 0;TCM
21470;1052004351;34000634397;CC129841;2;0,004;21470;0;MRP;4;21470;TCM
21480;1052004351;34000634415;CC138706;36;1,296;21480;0;MRP;4;21480;P4C pour 21480
22500;1052004351;34000634433;CC142656;50;0,1;22500;0;MRP;4;1 TCM;1 TCM
21601;1052004351;34000634459;CC135390;6;2,166;21480;0;MRP;4;21480;P4C pour 21480
22500;1052004351;34000634359;CC138704;150;1,65;2147F + Paint;0;MRP;4;2147F;50% P4C pour 2147F
21430;1052004351;34000634361;CC141561;60;2,34;21430 + Paint;0;MRP;4;21430;P4C pour 21430
22500;1052004351;34000634362;CC142700;72;0,216;21470 + Paint + PPAP;0;MRP;4;21470;TKM
PG01B;1052004351;34000634392;CC142559;72;0,432;21470 + Paint + PPAP;0;MRP;4;21470;TKM
PG01B;1052004351;34000634436;PXX10247;200;1,2;21460 + Paint;0;MRP;4;21460;50% P4C pour 21460
PG01B;1052004351;34000634439;CC136648;200;0,4;2146F + Paint;0;MRP;4;2146F;TKM
22500;1052004351;34000634504;W55940;12;0,78;21430;0;MRP;5;21430;P4C pour 21430
22500;1052004351;34000634505;W55941;24;1,56;21430;0;MRP;5;21430;P4C pour 21430
22500;1052004351;34000634503;W55939;12;0,78;21430;0;MRP;6;21430;P4C pour 21430
